X,Y,NUMBER,NAME,PERIOD,icon_url
94.879781,21.148178,,,,./0.png
94.87993,21.148157,,,,./0.png
94.879826,21.148366,,,,./0.png
94.87967,21.147761,,,,./0.png
94.879658,21.147652,,,,./0.png
94.879786,21.147681,,,,./0.png
94.879467,21.147722,,,,./0.png
94.880309,21.147877,,,,./0.png
94.880297,21.147748,,,,./0.png
94.879468,21.146888,,,,./0.png
94.879575,21.146937,,,,./0.png
94.87967,21.146887,,,,./0.png
94.879216,21.147187,,,,./0.png
94.88149,21.146291,,,,./0.png
94.881548,21.146668,,,,./0.png
94.88169,21.146935,,,,./0.png
94.881382,21.146987,,,,./0.png
94.881213,21.147047,,,,./0.png
94.881128,21.147067,,,,./0.png
94.881022,21.147098,,,,./0.png
94.881142,21.147355,,,,./0.png
94.881111,21.147455,,,,./0.png
94.881335,21.147483,,,,./0.png
94.881337,21.147613,,,,./0.png
94.881179,21.147762,,,,./0.png
94.881128,21.147961,,,,./0.png
94.881246,21.14801,,,,./0.png
94.881425,21.14792,,,,./0.png
94.881576,21.148068,,,,./0.png
94.881642,21.148286,,,,./0.png
94.882136,21.147777,,,,./0.png
94.883257,21.146489,,,,./0.png
94.88315,21.14647,,,,./0.png
94.883176,21.145933,,,,./0.png
94.88292,21.145845,,,,./0.png
94.882781,21.145816,,,,./0.png
94.882625,21.146086,,,,./0.png
